"filename", "language", "JavaScript", "CSS", "XML", "Excel", "JSON", "comment", "blank", "total"
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Technical\LeftContent\LeftContent.module.css", "CSS", 0, 7, 0, 0, 0, 0, 4, 11
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Technical\LeftContent\Scrolling.js", "JavaScript", 46, 0, 0, 0, 0, 1, 8, 55
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Technical\RightContent\RightContent.js", "JavaScript", 386, 0, 0, 0, 0, 0, 15, 401
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Technical\RightContent\RightContent.module.css", "CSS", 0, 16, 0, 0, 0, 0, 5, 21
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mfc\Mfc.js", "JavaScript", 24, 0, 0, 0, 0, 0, 12, 36
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mfc\Mfc.module.css", "CSS", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mfc\Technical\HeatMapForm\HeatMapFormMFC.js", "JavaScript", 145, 0, 0, 0, 0, 0, 20, 165
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mfc\Technical\HeatMapForm\HeatMapFormMFC.module.css", "CSS", 0, 3, 0, 0, 0, 0, 3, 6
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mfc\Technical\LeftContent\LeftContent.js", "JavaScript", 19, 0, 0, 0, 0, 0, 11, 30
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mfc\Technical\LeftContent\LeftContent.module.css", "CSS", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mfc\Technical\RightContent\RightContent.js", "JavaScript", 350, 0, 0, 0, 0, 0, 18, 368
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mfc\Technical\RightContent\RightContent.module.css", "CSS", 0, 16, 0, 0, 0, 0, 5, 21
